"","mortality_rate_percent","countriesAndTerritories"
"1",0,"Afghanistan"
"2",0.03,"Albania"
"3",0.01,"Algeria"
"4",0.1,"Andorra"
"5",0,"Angola"
"6",0,"Anguilla"
"7",0,"Antigua and Barbuda"
"8",0.09,"Argentina"
"9",0.08,"Armenia"
"10",0.04,"Aruba"
"11",0,"Australia"
"12",0.04,"Austria"
"13",0.02,"Azerbaijan"
"14",0.04,"Bahamas"
"15",0.02,"Bahrain"
"16",0,"Bangladesh"
"17",0,"Barbados"
"18",0.01,"Belarus"
"19",0.15,"Belgium"
"20",0.04,"Belize"
"21",0,"Benin"
"22",0.01,"Bermuda"
"23",0,"Bhutan"
"24",0.08,"Bolivia"
"25",0.01,"Bonaire, Saint Eustatius and Saba"
"26",0.09,"Bosnia and Herzegovina"
"27",0,"Botswana"
"28",0.08,"Brazil"
"29",0,"British Virgin Islands"
"30",0,"Brunei Darussalam"
"31",0.07,"Bulgaria"
"32",0,"Burkina Faso"
"33",0,"Burundi"
"34",0,"Cambodia"
"35",0,"Cameroon"
"36",0.03,"Canada"
"37",0.02,"Cape Verde"
"38",NA,"Cases on an international conveyance Japan"
"39",0,"Cayman Islands"
"40",0,"Central African Republic"
"41",0,"Chad"
"42",0.08,"Chile"
"43",0,"China"
"44",0.07,"Colombia"
"45",0,"Comoros"
"46",0,"Congo"
"47",0.04,"Costa Rica"
"48",0,"Cote dIvoire"
"49",0.05,"Croatia"
"50",0,"Cuba"
"51",0,"Curacao"
"52",0.01,"Cyprus"
"53",0.08,"Czech Republic"
"54",0,"Democratic Republic of the Congo"
"55",0.02,"Denmark"
"56",0.01,"Djibouti"
"57",0,"Dominica"
"58",0.02,"Dominican Republic"
"59",0.08,"Ecuador"
"60",0.01,"Egypt"
"61",0.02,"El Salvador"
"62",0.01,"Equatorial Guinea"
"63",0,"Eritrea"
"64",0.01,"Estonia"
"65",0.01,"Eswatini"
"66",0,"Ethiopia"
"67",0,"Falkland Islands (Malvinas)"
"68",0,"Faroe Islands"
"69",0,"Fiji"
"70",0.01,"Finland"
"71",0.08,"France"
"72",0.03,"French Polynesia"
"73",0,"Gabon"
"74",0.01,"Gambia"
"75",0.04,"Georgia"
"76",0.02,"Germany"
"77",0,"Ghana"
"78",0.01,"Gibraltar"
"79",0.03,"Greece"
"80",0,"Greenland"
"81",0,"Grenada"
"82",0.07,"Guam"
"83",0.02,"Guatemala"
"84",0.02,"Guernsey"
"85",0,"Guinea"
"86",0,"Guinea Bissau"
"87",0.02,"Guyana"
"88",0,"Haiti"
"89",0,"Holy See"
"90",0.03,"Honduras"
"91",0.06,"Hungary"
"92",0.01,"Iceland"
"93",0.01,"India"
"94",0.01,"Indonesia"
"95",0.06,"Iran"
"96",0.03,"Iraq"
"97",0.04,"Ireland"
"98",0.03,"Isle of Man"
"99",0.03,"Israel"
"100",0.1,"Italy"
"101",0.01,"Jamaica"
"102",0,"Japan"
"103",0.03,"Jersey"
"104",0.03,"Jordan"
"105",0.01,"Kazakhstan"
"106",0,"Kenya"
"107",0.06,"Kosovo"
"108",0.02,"Kuwait"
"109",0.02,"Kyrgyzstan"
"110",0,"Laos"
"111",0.01,"Latvia"
"112",0.02,"Lebanon"
"113",0,"Lesotho"
"114",0,"Liberia"
"115",0.02,"Libya"
"116",0.04,"Liechtenstein"
"117",0.02,"Lithuania"
"118",0.06,"Luxembourg"
"119",0,"Madagascar"
"120",0,"Malawi"
"121",0,"Malaysia"
"122",0.01,"Maldives"
"123",0,"Mali"
"124",0.03,"Malta"
"125",0,"Marshall Islands"
"126",0,"Mauritania"
"127",0,"Mauritius"
"128",0.09,"Mexico"
"129",0.06,"Moldova"
"130",0.01,"Monaco"
"131",0,"Mongolia"
"132",0.09,"Montenegro"
"133",0.02,"Montserrat"
"134",0.02,"Morocco"
"135",0,"Mozambique"
"136",0,"Myanmar"
"137",0.01,"Namibia"
"138",0.01,"Nepal"
"139",0.06,"Netherlands"
"140",0,"New Caledonia"
"141",0,"New Zealand"
"142",0,"Nicaragua"
"143",0,"Niger"
"144",0,"Nigeria"
"145",0.09,"North Macedonia"
"146",0,"Northern Mariana Islands"
"147",0.01,"Norway"
"148",0.03,"Oman"
"149",0,"Pakistan"
"150",0.02,"Palestine"
"151",0.07,"Panama"
"152",0,"Papua New Guinea"
"153",0.03,"Paraguay"
"154",0.11,"Peru"
"155",0.01,"Philippines"
"156",0.05,"Poland"
"157",0.05,"Portugal"
"158",0.04,"Puerto Rico"
"159",0.01,"Qatar"
"160",0.06,"Romania"
"161",0.03,"Russia"
"162",0,"Rwanda"
"163",0,"Saint Kitts and Nevis"
"164",0,"Saint Lucia"
"165",0,"Saint Vincent and the Grenadines"
"166",0.14,"San Marino"
"167",0.01,"Sao Tome and Principe"
"168",0.02,"Saudi Arabia"
"169",0,"Senegal"
"170",0.03,"Serbia"
"171",0,"Seychelles"
"172",0,"Sierra Leone"
"173",0,"Singapore"
"174",0.06,"Sint Maarten"
"175",0.02,"Slovakia"
"176",0.06,"Slovenia"
"177",0,"Solomon Islands"
"178",0,"Somalia"
"179",0.04,"South Africa"
"180",0,"South Korea"
"181",0,"South Sudan"
"182",0.1,"Spain"
"183",0,"Sri Lanka"
"184",0,"Sudan"
"185",0.02,"Suriname"
"186",0.07,"Sweden"
"187",0.06,"Switzerland"
"188",0,"Syria"
"189",0,"Taiwan"
"190",0,"Tajikistan"
"191",0,"Thailand"
"192",0,"Timor Leste"
"193",0,"Togo"
"194",0.01,"Trinidad and Tobago"
"195",0.03,"Tunisia"
"196",0.02,"Turkey"
"197",0.02,"Turks and Caicos islands"
"198",0,"Uganda"
"199",0.09,"UK"
"200",0.03,"Ukraine"
"201",0.01,"United Arab Emirates"
"202",0,"United Republic of Tanzania"
"203",0.02,"United States Virgin Islands"
"204",0,"Uruguay"
"205",0.09,"USA"
"206",0,"Uzbekistan"
"207",0,"Vanuatu"
"208",0,"Venezuela"
"209",0,"Vietnam"
"210",NA,"Wallis and Futuna"
"211",0,"Western Sahara"
"212",0,"Yemen"
"213",0,"Zambia"
"214",0,"Zimbabwe"
